,Model Year,VehMake,VehModel,Test Vehicle ID,Test Veh Configuration Num,Actual Tested Testgroup,VehType,Rated Horsepower,Num of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,Num of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,Displacement,PWR,Axle Ratio,THC,CO,CO2,NOx,FuelEco,Aftertreatment Device Desc,Averaging Method Cd,KMeans_Cluster
0,2020,Aston Martin,DB11,500TT5148,0,HASXV05.2AM5,Car,600,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,HASX10045047,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,5.2,0.1333333333,2.7,0.0247,0.418,466.87,0.0249,18.8,Three-way catalyst,N,2.0
1,2020,Aston Martin,DB11,500TT5148,0,HASXV05.2AM5,Car,600,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,HASX10045048,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,5.2,0.1333333333,2.7,0.001155,0.067334,285.0,0.011000000000000001,30.9,Three-way catalyst,N,2.0
2,2020,Aston Martin,DB11 V8,562TT5348,0,JASXV04.0AES,Car,503,8.0,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,JASX10050824,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4.0,0.11177777779999999,2.7,0.0265,0.07,386.66,0.028999999999999998,22.7,Three-way catalyst,N,2.0
3,2020,Aston Martin,DB11 V8,562TT5348,0,JASXV04.0AES,Car,503,8.0,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,JASX10050825,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4.0,0.11177777779999999,2.7,0.0005,0.03,259.74,0.002,33.8,Three-way catalyst,N,2.0
4,2020,Aston Martin,DBS,7002PT7056,0,KASXV05.2AM5,Car,715,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,23.0,1,Not eqipped,KASX10055440,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,5.2,0.1588888889,2.93,0.0422,0.9848,499.69,0.0262,17.7,Three-way catalyst,N,2.0
5,2020,Aston Martin,DBS,7002PT7056,0,KASXV05.2AM5,Car,715,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,23.0,1,Not eqipped,KASX10055442,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,5.2,0.1588888889,2.93,0.0,0.0425,290.25,0.006999999999999999,30.6,Three-way catalyst,N,2.0
6,2020,Aston Martin,Vantage Manual,6031PT6102,0,LASXV04.0AES,Car,503,8.0,177950,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,31.0,1,Not eqipped,LASX10061354,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4.0,0.1298064516,3.73,0.0283,0.6,516.29,0.022000000000000002,17.4,Three-way catalyst,N,2.0
7,2020,Aston Martin,Vantage Manual,6031PT6102,0,LASXV04.0AES,Car,503,8.0,177950,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,31.0,1,Not eqipped,LASX10061355,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4.0,0.1298064516,3.73,0.00889,0.46,306.15,0.0041,29.3,Three-way catalyst,N,2.0
8,2020,Aston Martin,Vantage V8,600TT6106,0,KASXV04.0AES,Car,503,8.0,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.1,1,Not eqipped,KASX10053280,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4.0,0.12575,2.93,0.0261,0.16,393.76,0.015,22.5,Three-way catalyst,N,2.0
9,2020,Aston Martin,Vantage V8,600TT6106,0,KASXV04.0AES,Car,503,8.0,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.1,1,Not eqipped,KASX10053301,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4.0,0.12575,2.93,0.0085,0.08,259.04,0.044000000000000004,34.3,Three-way catalyst,N,2.0
10,2020,BMW,228i xDrive Gran Coupe,7D46114,0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,27.4,1,Not eqipped,LBMX10062748,MFR,No,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,2.0,0.0588387097,2.95,0.007389199999999999,0.18433429999999998,296.47228939999997,0.0048707,29.7,Three-way catalyst,N,2.0
11,2020,BMW,228i xDrive Gran Coupe,7D46114,0,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,27.4,1,Not eqipped,LBMX10062749,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,2.0,0.0588387097,2.95,0.00041150000000000003,0.0010222999999999999,182.9377615,0.0036323999999999996,48.0,Three-way catalyst,N,3.0
12,2020,BMW,228i xDrive Gran Coupe,7D46114,1,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,27.4,1,Not eqipped,LBMX10062750,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,2.0,0.0588387097,2.95,0.0005331,0.0,194.3658064,0.0048682,45.3,Three-way catalyst,N,2.0
13,2020,BMW,228i xDrive Gran Coupe,7D46114,1,LBMXJ02.0B4X,Both,228,4.0,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,27.4,1,Not eqipped,LBMX10062751,MFR,No,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,2.0,0.0588387097,2.95,0.0070675,0.19850820000000002,302.30541439999996,0.0092353,29.1,Three-way catalyst,N,2.0
14,2020,BMW,230i Convertible,V646702,0,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,25.2,1,Not eqipped,HBMX10043924,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,2.0,0.062,2.81,0.0009199999999999999,0.0829,195.26,0.0019,45.8,Three-way catalyst,N,3.0
15,2020,BMW,230i Convertible,V646702,0,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,25.2,1,Not eqipped,HBMX10044021,MFR,No,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,2.0,0.062,2.81,0.0031899999999999997,0.1754,293.74,0.0047,30.3,Three-way catalyst,N,2.0
16,2020,BMW,230i Convertible,V646702,1,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,25.2,1,Not eqipped,HBMX91003278,EPA,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,2.0,0.062,2.81,0.0035086999999999996,0.454953,311.4590798,0.006574299999999999,28.6,Three-way catalyst,N,2.0
17,2020,BMW,230i Convertible,V646702,1,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,25.2,1,Not eqipped,HBMX91003279,EPA,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,2.0,0.062,2.81,0.0,0.0224097,189.59042119999998,0.002859,46.9,Three-way catalyst,N,3.0
18,2020,BMW,230i Convertible,V646702,2,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.8,1,Not eqipped,HBMX10043921,MFR,No,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,2.0,0.062,2.81,0.00465,0.4268,285.88,0.0039,31.1,Three-way catalyst,N,2.0
19,2020,BMW,230i Convertible,V646702,2,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.8,1,Not eqipped,HBMX10043922,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,2.0,0.062,2.81,0.00014,0.0224,185.57,0.0026,48.0,Three-way catalyst,N,3.0
20,2020,BMW,230i Convertible,V646702,3,HBMXV02.0B4X,Car,248,4.0,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.8,1,Not eqipped,HBMX10043923,MFR,No,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,2.0,0.062,2.81,0.00484,0.28600000000000003,306.3251,0.005,29.1,Three-way catalyst,N,2.0
