,Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Actual Tested Testgroup,Vehicle Type,Rated Horsepower,Num of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,Num of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,Test Veh Displacement (L),Axle Ratio,PWR,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),FuelEco,FE_UNIT,Police - Emergency Vehicle?,Averaging Method Cd,Averging Method Desc,KMeans_Cluster
0,2021,aston martin,ASX,Aston Martin,DB11,500TT5148,0,HASXV05.2AM5,Car,600,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,HASX10045047,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,5.2,2.7,0.1333333333,0.0247,0.418,466.87,0.0249,18.8,MPG,N,N,No averaging,3.0
1,2021,aston martin,ASX,Aston Martin,DB11,500TT5148,0,HASXV05.2AM5,Car,600,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,HASX10045048,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,5.2,2.7,0.1333333333,0.001155,0.067334,285.0,0.011000000000000001,30.9,MPG,N,N,No averaging,3.0
2,2021,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,JASXV04.0AES,Car,503,8.0,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,JASX10050824,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4.0,2.7,0.11177777779999999,0.0265,0.07,386.66,0.028999999999999998,22.7,MPG,N,N,No averaging,3.0
3,2021,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,JASXV04.0AES,Car,503,8.0,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,JASX10050825,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4.0,2.7,0.11177777779999999,0.0005,0.03,259.74,0.002,33.8,MPG,N,N,No averaging,3.0
4,2021,aston martin,ASX,Aston Martin,DBS,7002PT7056,0,KASXV05.2AM5,Car,715,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,23.0,1,Not eqipped,KASX10055440,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,5.2,2.93,0.1588888889,0.0422,0.9848,499.69,0.0262,17.7,MPG,N,N,No averaging,3.0
5,2021,aston martin,ASX,Aston Martin,DBS,7002PT7056,0,KASXV05.2AM5,Car,715,12.0,AE31/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,23.0,1,Not eqipped,KASX10055442,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,5.2,2.93,0.1588888889,0.0,0.0425,290.25,0.006999999999999999,30.6,MPG,N,N,No averaging,3.0
6,2021,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,MASXJ04.0AEX,Both,550,8.0,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,21.0,1,Not eqipped,MASX10065716,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4.0,3.06,0.1,0.0018,0.1,524.222,0.005,16.9,MPG,N,N,No averaging,3.0
7,2021,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,MASXJ04.0AEX,Both,550,8.0,177950,A,Automatic,9,Y,4,4-Wheel Drive,2,Top gear ratio < 1,5500,21.0,1,Not eqipped,MASX10065717,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4.0,3.06,0.1,0.0009,0.03,351.329,0.003,25.2,MPG,N,N,No averaging,3.0
8,2021,aston martin,ASX,Aston Martin,Vantage Manual,6031PT6102,0,LASXV04.0AES,Car,503,8.0,177950,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,31.0,1,Not eqipped,LASX10061354,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4.0,3.73,0.1298064516,0.0283,0.6,516.29,0.022000000000000002,17.4,MPG,N,N,No averaging,3.0
9,2021,aston martin,ASX,Aston Martin,Vantage Manual,6031PT6102,0,LASXV04.0AES,Car,503,8.0,177950,M,Manual,7,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,31.0,1,Not eqipped,LASX10061355,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4.0,3.73,0.1298064516,0.00889,0.46,306.15,0.0041,29.3,MPG,N,N,No averaging,3.0
