Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Actual Tested Testgroup,Vehicle Type,Rated Horsepower,Num of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,Num of Gears,Transmission Lockup?,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,Displacement (L),Axle Ratio,PWR,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),FuelEco,FE_UNIT,Averaging Method Cd,Averging Method Desc
2022,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,JASX10050824,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4,2.7,0.111777778,0.0265,0.07,386.66,0.029,22.7,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,DB11 V8,562TT5348,0,JASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,22.2,1,Not eqipped,JASX10050825,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4,2.7,0.111777778,0.0005,0.03,259.74,0.002,33.8,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,DBS,7002PT7056,0,KASXV05.2AM5,Car,715,12,AE31/,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,23,1,Not eqipped,KASX10055440,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,5.2,2.93,0.158888889,0.0422,0.9848,499.69,0.0262,17.7,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,DBS,7002PT7056,0,KASXV05.2AM5,Car,715,12,AE31/,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,23,1,Not eqipped,KASX10055442,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,5.2,2.93,0.158888889,0,0.0425,290.25,0.007,30.6,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4-Wheel Drive,2,Top gear ratio < 1,5500,21,1,Not eqipped,MASX10071301,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4,3.06,0.1,0.0146,0.12,521.26,0.009,17.2,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,DBX,8001PT8342,1,MASXJ04.0AEX,Both,550,8,177950,A,Automatic,9,Y,4-Wheel Drive,2,Top gear ratio < 1,5500,21,1,Not eqipped,MASX10071328,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4,3.06,0.1,0,0,327.54,0.002,27.4,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,Vantage V8,600TT6106,0,KASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.1,1,Not eqipped,KASX10053280,MFR,No,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,4,2.93,0.12575,0.0261,0.16,393.76,0.015,22.5,MPG,N,No averaging
2022,aston martin,ASX,Aston Martin,Vantage V8,600TT6106,0,KASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,24.1,1,Not eqipped,KASX10053301,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,4,2.93,0.12575,0.0085,0.08,259.04,0.044,34.3,MPG,N,No averaging
2022,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,27.4,1,Not eqipped,MBMX10066519,MFR,No,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,2,2.95,0.0608,0.006645,0.2468089,278.7595253,0.0024674,31.5,MPG,N,No averaging
2022,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,27.4,1,Not eqipped,MBMX10066520,MFR,No,3,HWFE,61,Tier 2 Cert Gasoline,HWY,2,2.95,0.0608,0.000649,0.0029978,175.4953204,0.0023005,50.2,MPG,N,No averaging
